અયોધાતુ,અ-યોધા-તુ
ક્લિષ્ટાર્થ,ક્લિષ્-ટા-ર્-થ
લેહ્ય,લે-હ્-ય
રેણી,રેણી
અનવલોકિત,અ-નવ-લોકિત
રઘવાટિયાપણું,ર-ઘ-વાટિયા-પ-ણું
અનાર્યજુષ્ટ,અ-નાર્-ય-જુષ્-ટ
વિજાપરો,વિ-જાપ-રો
આદિશિલ્પી,આ-દિશિલ્-પી
ભલુંભલું,ભ-લુંભ-લું
દ્યૌ,દ્યૌ
ખણસાવું,ખણ-સા-વું
ગડેડાવું,ગ-ડેડા-વું
ત્રાંબું,ત્રાંબું
ટનેજ,ટનેજ
કુનેહબાજી,કુનેહબા-જી
હેવાયું,હે-વા-યું
નાસ્તિક,નાસ્-તિક
પાતાલ,પાતાલ
વરાળયંત્ર,વ-રાળ-યં-ત્-ર
ઉપાધ્યાય,ઉ-પાધ્યાય
અયનકાળ,અયન-કાળ
મેમણ,મેમણ
મધુમાઘ,મ-ધુ-માઘ
સુખવાસી,સુ-ખ-વા-સી
જંગોડો,જંગોડો
અપપ્રવેશ,અપપ્ર-વેશ
ફરશી,ફર-શી
કોવાડ,કોવાડ
પરકાયાપ્રવેશ,પર-કાયાપ્ર-વેશ
કુસુમાંજલિ,કુસુમાંજલિ
અશરીરી,અ-શ-રીરી
શક્ય,શક્ય
ડપકામણ,ડપ-કામણ
કગ્ગો,કગ્ગો
વેંઢવું,વેં-ઢ-વું
અંગક્રિયા,અં-ગક્રિ-યા
સટ્ટાખોર,સટ્ટાખોર
દુખાવું,દુ-ખા-વું
કુતર્કશાસ્ત્રી,કુ-તર્-ક-શાસ્-ત્રી
મુદતિયું,મુ-દતિ-યું
ચોંક,ચોંક
હારદોર,હાર-દોર
રમણીયતા,રમ-ણીય-તા
સ્ટોરકીપર,સ્ટોર-કીપર
અનેકકોષી,અ-નેક-કોષી
અમાપ,અ-માપ
ઉછાંછળાવેડા,ઉ-છાં-છળા-વેડા
પવાયત,પ-વાયત
અદપડિયાળું,અદપડિ-યા-ળું
આક્રોશન,આક્રોશન
અવિદ્યાજન્ય,અવિદ્યાજન્ય
ઉજળિયાત,ઉજળિ-યાત
પચરકો,પચર-કો
ભલૂંબૂરું,ભલૂંબૂરું
તીજું,તીજું
દૂરઅંદેશ,દૂરઅંદેશ
કૉસ્મિક,કૉસ્મિક
પ્રતિકૂલતા,પ્ર-તિ-કૂલતા
વિશ્વેશ્વરી,વિશ્વેશ્-વ-રી
દુય્યમ,દુય્યમ
ફળિયેલ,ફ-ળિયેલ
વિપરીતકોણ,વિ-પ-રીત-કોણ
પ્રોટોપ્લાઝમ,પ્રોટોપ્લાઝમ
હારબંધ,હારબંધ
જવાંમર્દ,જવાં-મર્-દ
અંત્યજેતર,અં-ત્-યજે-તર
ખાસું,ખાસું
દપોટો,દ-પો-ટો
દાર્ષ્ટાન્તિક,દાર્-ષ્-ટાન્-તિક
ઉખરડો,ઉ-ખર-ડો
વરતિયો,વર-તિ-યો
ટેનિન,ટેનિન
આડખરચ,આડ-ખરચ
ભ્રષ્ટાત્મા,ભ્રષ્-ટાત્-મા
પૂર્ત્તિ,પૂર્ત્-તિ
સંધાન,સંધાન
શ્રેષ્ઠ,શ્રેષ્ઠ
અનંતકાય,અ-નં-ત-કાય
કડબોળું,કડ-બોળું
નેટવું,ને-ટ-વું
ટૅન્શન,ટૅન્શન
મઢૂડી,મઢૂડી
ક્રોધાયમાન,ક્રો-ધા-ય-માન
જારી,જા-રી
કરડો,કર-ડો
વિષયી,વિ-ષયી
ધ્રુવતાલ,ધ્રુવ-તાલ
અર્થભાવના,અર્-થ-ભાવ-ના
ફૅરવેલ,ફૅર-વેલ
ધક્કાધક્કી,ધક્કાધક્કી
તસ્તાનું,તસ્-તાનું
મરૂઢ,મ-રૂઢ
મંચનક્ષમતા,મંચન-ક્-ષમ-તા
કીલકાસ્થિ,કીલ-કા-સ્થિ
તહઝીબ,તહઝીબ
કેરિકેચર,કેરિકેચર
ચેકડેમ,ચેકડેમ
ધુર્ય,ધુ-ર્-ય
છોભ,છોભ
સંત્રી,સંત્રી
હીંડોળાખાટ,હીંડોળાખાટ
મંચક,મંચક
કાગજ,કાગજ
દુખભંજી,દુખભંજી
ટૂર,ટૂર
રાસ્તબાજી,રાસ્-તબા-જી
પાતરવાડિયું,પાતર-વા-ડિ-યું
વલ્લકી,વ-લ્-લ-કી
આર્યપુત્ર,આ-ર્-યપુત્-ર
નિર્ણયાત્મક,નિર્-ણ-યાત્-મક
પોસવું,પો-સ-વું
ફોરવવું,ફો-ર-વ-વું
અશક્તિપેન્શન,અ-શક્તિપેન્શન
ઊડણદંડ,ઊડ-ણદં-ડ
નિરવયવ,નિ-ર-વ-યવ
ધૂની,ધૂની
જેરબંધ,જેરબંધ
અનેકત્વાપત્તિ,અ-નેક-ત્વા-પત્-તિ
અનુચ્ચ,અ-નુચ્-ચ
ઉત્સેચન,ઉત્સેચન
દોલોત્સવ,દોલોત્-સવ
તરછટ,તરછટ
તાડકવું,તાડક-વું
અવિદ્યમાન,અવિદ્યમાન
યજ્ઞોપવીત,યજ્ઞોપ-વીત
ઉટાંકવું,ઉ-ટાંક-વું
ઉસારાવવું,ઉસા-રાવ-વું
ઉપનયન,ઉપનયન
સંશયખોર,સં-શયખોર
દુમાવવું,દુ-માવ-વું
આલીશાન,આલીશાન
મધુરગંધી,મ-ધુરગંધી
ખારો,ખારો
સંતતિનિરોધ,સંતતિ-નિરોધ
ઘસડપસડ,ઘસડપસડ
તરડાવું,તર-ડા-વું
કાષ્ઠા,કાષ્-ઠા
માલૂમ,માલૂમ
લપ્પટ,લપ્-પટ
ધર્મદાન,ધર્-મ-દાન
લોકનૃત્ય,લોક-નૃત્-ય
બૂધું,બૂધું
દોજખ,દો-જ-ખ
વાપર,વા-પર
ટેં,ટેં
સુમેય,સુ-મે-ય
દુઆગીર,દુઆગીર
વારતા,વાર-તા
અવળિયું,અવળિ-યું
બૃહત્તર,બૃ-હત્-તર
દહીંદૂધિયાપણું,દ-હીંદૂ-ધિ-યા-પ-ણું
કડકોચલી,કડ-કોચ-લી
ઓરતો,ઓરતો
કેપેસિટી,કેપેસિટી
સત્કારાવવું,સત્-કારાવ-વું
ચોક્કસ,ચોક્કસ
તાદાદ,તાદાદ
પરત્વે,પરત્વે
ઊંધ,ઊંધ
વ્રજેંદ્ર,વ્રજેંદ્ર
મનોવ્યાધિ,મ-નોવ્યા-ધિ
નિલાટ,નિલાટ
ચોરવાટ,ચોર-વાટ
સંભુજ,સંભુજ
આબાશાહી,આ-બાશા-હી
બ્રાહ્મણિયું,બ્રાહ્મ-ણિ-યું
ઝુકાવડા,ઝુ-કાવ-ડા
શિલાલેખવિદ્યા,શિલાલેખવિદ્યા
વિચારસૃષ્ટિ,વિ-ચાર-સૃષ્-ટિ
વાંચનમાળા,વાંચન-મા-ળા
સાધનચતુષ્ટય,સા-ધન-ચ-તુષ્-ટ-ય
બોઘલું,બોઘલું
પંડિતપણું,પં-ડિતપ-ણું
લપેટાવું,લ-પે-ટા-વું
ગામડિયો,ગામડિ-યો
કાટકસર,કાટકસર
છરકતું,છરકતું
વૃદ્ધબાળલગ્ન,વૃદ્ધબાળ-લગ્-ન
રાહરસમ,રા-હરસ-મ
સળકાવવું,સળ-કાવ-વું
લિપાવું,લિ-પા-વું
વજ્રપાણિ,વ-જ્ર-પા-ણિ
રામચક્કર,રામચક્કર
કાનૂનરાજ,કાનૂન-રાજ
ચિત્રગુપ્ત,ચિ-ત્-રગુપ્-ત
દુર્બોધ,દુર્બોધ
કમાળિયો,ક-મા-ળિ-યો
ગિલોટિન,ગિલોટિન
નાટકચેટક,ના-ટકચેટક
ગલથૂથી,ગલથૂથી
કપાળિકા,ક-પા-ળિકા
બળકટ,બળકટ
અગ્નિકોણ,અગ્-નિકોણ
દાંતાળું,દાં-તા-ળું
ઍપ્રોચ,ઍપ્રોચ
લક્ષ્મીવર,લક્-ષ્મીવર
કચ્છાવતાર,ક-ચ્-છાવ-તાર
દ્વૈતાભાસ,દ્વૈતાભાસ
લેખવવું,લે-ખવ-વું
સ્નિગ્ધ,સ્-નિગ્-ધ
ભરૂંસાપાત્ર,ભરૂં-સા-પાત્-ર
શકરાબાજી,શક-રા-બા-જી
અળૂજો,અળૂજો
છાલિયું,છા-લિ-યું
કોઠો,કોઠો
સહજતા,સહજતા
અપગું,અપ-ગું
મૂડીવાદી,મૂ-ડીવા-દી
જાતિવાદ,જા-તિ-વાદ
અશ્મા,અશ્મા
બંધુવર્ગ,બં-ધુવર્ગ
ચંદનહાર,ચં-દન-હાર
આખરણ,આખરણ
તરુણાઈ,ત-રુ-ણાઈ
ડૂમળ,ડૂમળ
જશન,જશન
વિવહન,વિ-વહન
મછરી,મછરી
અસ્વાદવ્રત,અ-સ્વાદવ્રત
ભડકણ,ભડકણ
વલવલવું,વ-લવ-લ-વું
અવસાનકાળ,અવ-સાન-કાળ
ગંગાવતરણ,ગંગાવતરણ
દેશહિતૈષી,દેશહિતૈષી
આધારપાત્ર,આ-ધાર-પાત્-ર
મુમૂર્ષા,મુ-મૂર્-ષા
અબ્રવાન,અબ્ર-વાન
ચલવાવું,ચ-લ-વા-વું
સધન,સધન
ઍવરેજ,ઍવ-રેજ
અટકડી,અટક-ડી
વાછરડું,વાછર-ડું
મિથ્યારોપ,મિથ્-યા-રોપ
શ્રુતલેખન,શ્-રુ-તલે-ખન
ઊર્જા,ઊર્જા
પાવૈ,પાવૈ
વવળાટ,વ-વ-ળાટ
બખ્ત,બ-ખ્-ત
ઉદ્દેશક,ઉદ્-દેશક
ફૂંફાટો,ફૂંફાટો
આત્મસંમાન,આત્-મ-સંમાન
પુણ્યશાળી,પુણ્-યશા-ળી
એકસ્વરી,એકસ્વ-રી
દ્વિવચન,દ્વિ-વ-ચન
અનપેક્ષ,અ-ન-પેક્-ષ
લૌલ્ય,લૌ-લ્-ય
કૈરવ,કૈ-ર-વ
હોલેદિલ,હોલેદિલ
સૂક્ષ્મદેહ,સૂક્-ષ્મદેહ
ચમચમવું,ચ-મ-ચ-મ-વું
અટકળવું,અટકળ-વું
ખસૂસ,ખસૂસ
જ્ઞાનવાયુ,જ્-ઞાન-વા-યુ
દફતરખાનું,દફતર-ખા-નું
ઘિલોડી,ઘિલોડી
વેવલાશ,વેવ-લાશ
ક્રોધાવિષ્ટ,ક્રો-ધા-વિષ્-ટ
બખરવું,બ-ખર-વું
મગજિયું,મગજિ-યું
ઉધામો,ઉ-ધા-મો
કુવેણી,કુ-વે-ણી
ઠપઠપાવવું,ઠપઠપાવ-વું
સંકટમોયું,સં-કટમોયું
સંગતકોણ,સં-ગત-કોણ
ઘેંઘટ,ઘેંઘટ
ધર્મસૂત્ર,ધર્-મ-સૂત્-ર
વર્તુળપાદ,વર્-તુળ-પા-દ
મરોડાવું,મ-રોડા-વું
વેજિટેબલ,વેજિટેબલ
જોગણ,જોગણ
દીવડો,દી-વ-ડો
પળોજણ,પ-ળોજણ
ચૌદમું,ચૌદમું
રજસ,રજસ
આરબ્ધકર્મ,આરબ્-ધકર્-મ
નાના,નાના
હાંફળુંફાંફળું,હાંફળુંફાંફળું
અવિસંવાદિતા,અ-વિસં-વા-દિ-તા
ઉભાળ,ઉભાળ
લંપ,લં-પ
અર્ચિર્માર્ગ,અર્ચિર્-માર્ગ
રંડ,રંડ
ચેદિ,ચેદિ
ઉછેર,ઉ-છેર
ફળજિઘત્સા,ફળજિઘત્-સા
આદિત્યમંડળ,આ-દિત્-ય-મંડળ
આધારરેષા,આ-ધારરેષા
જુદેરું,જુદેરું
મૅગ્નેટ,મૅગ્નેટ
આકારવર્ણન,આ-કાર-વર્-ણન
આગિયોખરસણ,આ-ગિ-યોખરસણ
બબડવું,બ-બડ-વું
ઢીંચાવું,ઢીં-ચા-વું
ચોળીમાર્ગ,ચો-ળીમાર્ગ
કોચીન,કોચીન
મરકત,મરક-ત
આકાશયાન,આ-કાશયાન
છટકાવવું,છટ-કાવ-વું
ચોગઠ,ચો-ગ-ઠ
જવનિકા,જવ-નિ-કા
યાજ્ઞસેની,યાજ્-ઞસે-ની
સંકડાવવું,સં-ક-ડાવ-વું
અસ્તું,અ-સ્-તું
પ્રમાતામહી,પ્ર-મા-તા-મહી
અજાણતાં,અ-જાણતાં
કાનકોરણી,કાન-કોર-ણી
તપનચ્છદ,તપનચ્-છ-દ
ગોખાટવું,ગો-ખાટ-વું
કામયાબી,કામયાબી
કારવવું,કાર-વ-વું
આર્હતપ્રવચન,આર્હત-પ્ર-વ-ચન
અરેંદ્રિય,અરેં-દ્રિ-ય
ઉપમિત,ઉપમિત
આદરવાન,આ-દર-વાન
લિંગદેહ,લિંગદેહ
સેવન,સે-વન
ખૂદરું,ખૂ-દ-રું
વરવુંવચાક,વર-વુંવ-ચાક
ઉઘાડ,ઉઘાડ
ડબોળવું,ડ-બોળ-વું
સંગમસ્થાન,સં-ગમસ્થાન
આત્મપ્રદ,આત્-મપ્ર-દ
અતૃષ્ણ,અ-તૃષ્-ણ
અવચ,અવ-ચ
આરોગ્યશાળા,આ-રોગ્-ય-શા-ળા
રાજકુળ,રાજ-કુળ
અનુકંપક,અ-નુકંપક
વૈશ્વાસિક,વૈ-શ્-વા-સિક
ઑસ્ટ્રેલેશિયા,ઑસ્ટ્રેલેશિ-યા
ભુસ્કો,ભુ-સ્-કો
હટાણું,હ-ટા-ણું
નીંભાડો,નીંભાડો
કાછલું,કા-છ-લું
અલખત,અ-લખત
કાષ્ઠઘંટા,કાષ્ઠઘંટા
લોથિયું,લો-થિ-યું
ઑલરેડી,ઑલરેડી
શિક્કલ,શિક્કલ
બક્ષી,બક્-ષી
ઉશીનર,ઉશીનર
પલકદરિયાવ,પ-લકદ-રિ-યા-વ
ત્રિભાગવું,ત્રિ-ભાગ-વું
નડ,નડ
ભમયંતું,ભમયંતું
સંસ્થિતિ,સં-સ્થિ-તિ
સમાવું,સ-મા-વું
આદિકાળ,આ-દિકાળ
અંજુમન,અંજુમન
ઢોટો,ઢોટો
ગળખોડ,ગળખોડ
વેગળે,વેગળે
કડાયું,ક-ડાયું
તત્પદાર્થ,તત્-પ-દાર્-થ
કસતું,ક-સ-તું
ઓભામણ,ઓભામણ
આઘેરડું,આ-ઘેર-ડું
બર્થ,બ-ર્-થ
કમાડું,ક-માડું
ઘંટલો,ઘંટ-લો
આયુ,આયુ
અપેખ,અ-પેખ
ડોળચાળણી,ડોળચાળણી
ચુનાવું,ચુનાવું
કામઠું,કામઠું
ચળકીબંધ,ચળ-કી-બંધ
છર્દિ,છર્દિ
ઠસાવવું,ઠ-સાવ-વું
ઉપજ્ઞા,ઉપજ્-ઞા
ગારા,ગારા
આકોલિયું,આ-કોલિ-યું
અભેડું,અભેડું
ધર્માંધપણું,ધર્-માં-ધપ-ણું
શકપ્રવર્તક,શક-પ્ર-વર્-તક
ભુજબળ,ભુજબળ
નિશ્ચિંતપણું,નિશ્ચિં-ત-પ-ણું
પેશ્વાઈ,પેશ્-વાઈ
અલંકારી,અ-લંકા-રી
અગ્નિશાલા,અગ્-નિ-શાલા
પેદા,પેદા
શ્રાદ્ધતિથિ,શ્રાદ્ધતિ-થિ
વિકેન્દ્રિત,વિકેન્-દ્રિત
મત્સ્યોદરી,મત્સ્યો-દ-રી
મસ્તી,મસ્-તી
આંગળિયું,આં-ગળિ-યું
મશાલ,મ-શાલ
શમમય,શમમય
અસાવળી,અ-સાવ-ળી
ઊમરો,ઊ-મ-રો
સરિયો,સરિયો
દુર્બલ,દુર્-બલ
ફણીશ,ફણીશ
વાળાગરણું,વા-ળાગર-ણું
સંડોવણી,સં-ડોવ-ણી
મહારંભ,મ-હારં-ભ
વાવણિયો,વાવ-ણિ-યો
કાંગરાદાર,કાંગ-રા-દાર
એંચાએંચી,એંચાએંચી
પૂંછેટિયું,પૂં-છેટિ-યું
સળવળાવવું,સળવ-ળાવ-વું
ઇંદ્રી,ઇંદ્રી
ઝમકઝોળ,ઝમકઝોળ
અડકામણ,અડ-કામણ
સીંકવું,સીં-ક-વું
જંગલી,જં-ગ-લી
અયશસ્કર,અ-યશસ્-કર
ઘરપ્રવેશ,ઘરપ્ર-વેશ
જૂઠાણ,જૂઠાણ
અગ્રાધિકાર,અગ્રાધિ-કાર
ટેલિસ્કોપ,ટેલિસ્-કોપ
કચરાવવું,કચ-રાવ-વું
અંતરિંદ્રિય,અં-તરિંદ્રિ-ય
ઇતરાઈ,ઇ-ત-રા-ઈ
ઘુમડાવવું,ઘુ-મ-ડાવ-વું
અષ્ટદલ,અષ્-ટ-દલ
આંડુ,આંડુ
ફિડલ,ફિડલ
કર્ણકઠોર,કર્-ણક-ઠોર
સારંગનયના,સા-રંગનયના
ચાપવું,ચાપ-વું
અધ્યવસાયી,અધ્-યવ-સા-યી
કદાય,ક-દાય
પપડાવવું,પપ-ડાવ-વું
ખાંડણું,ખાંડણું
આખરમોસમ,આ-ખરમો-સ-મ
અભિયાન,અ-ભિયાન
દગાળુ,દ-ગાળુ
આધિપત્ય,આધિ-પત્-ય
ક્ષણમાત્ર,ક્-ષણ-માત્-ર
હર્ષ,હર્ષ
બેસબૂરી,બેસબૂ-રી
વહેળકું,વ-હેળકું
સકડાવું,સક-ડા-વું
ચીપટો,ચીપટો
ત્રટ,ત્-રટ
દુરાચારિતા,દુ-રા-ચા-રિતા
કાર્યસાધક,કાર્-ય-સા-ધક
સ્વાંગીકરણ,સ્વાંગીકરણ
પંડરોગી,પં-ડરો-ગી
એકીકૃત,એ-કીકૃત
ગૃહાંગણ,ગૃહાંગણ
ઢરડકો,ઢ-રડ-કો
મસ્તિષ્ક,મસ્-તિષ્-ક
શૌચાચાર,શૌચાચાર
અક્ષયપદ,અક્-ષય-પદ
નાગદેવતા,નાગ-દેવ-તા
પતિતપાવન,પ-તિ-ત-પાવન
વિસર્જાવવું,વિ-સર્જાવ-વું
ઍડ્વોકેટ,ઍડ્વોકેટ
નિવર્તકન,નિવર્-તકન
અરતિ,અ-ર-તિ
કરતૂક,કરતૂક
તરેરાટ,તરે-રાટ
રેસ્ટહાઉસ,રેસ્ટહાઉસ
કાંડિયું,કાં-ડિ-યું
કપટનિંદા,ક-પટનિં-દા
કોશાધ્યક્ષ,કોશા-ધ્-યક્-ષ
અનૈપુણ્ય,અનૈ-પુણ્-ય
આધિ,આધિ
શેવાળાવવું,શેવા-ળાવ-વું
આકાશકુસુમ,આ-કાશકુસુ-મ
લટપટ,લટ-પટ
બારીકી,બા-રીકી
ગોષ્ઠીવિનોદ,ગો-ષ્-ઠીવિ-નોદ
ઝબોળિયું,ઝ-બોળિ-યું
ટીકાકાર,ટીકા-કાર
ગિટાર,ગિટાર
ડોળવા,ડોળ-વા
કડકાશ,કડ-કાશ
ગણવત,ગણવત
જોગદેવ,જોગદેવ
અહિપૂજન,અ-હિપૂજન
ગલૂડિયું,ગ-લૂડિ-યું
કંઠાળ,કંઠાળ
રસેંદ્રિય,રસેં-દ્રિ-ય
અનપરાધી,અ-ન-પ-રા-ધી
અત્યર્થ,અત્-યર્-થ
પાઘડો,પા-ઘ-ડો
ચીચવાટો,ચીચ-વા-ટો
રેડૉન,રેડૉન
ભળભાંખળું,ભળ-ભાંખ-ળું
અભિવિખ્યાત,અ-ભિ-વિખ્-યાત
ફૂંકણી,ફૂંકણી
અતિપ્રસક્તિ,અ-તિપ્રસક્તિ
ભીંતફટાકો,ભીંતફ-ટા-કો
સિમ્પોઝિયમ,સિમ્પોઝિયમ
દુરર્થ,દુ-રર્-થ
વિસા,વિ-સા
ડોલકાચંડો,ડોલ-કાચં-ડો
દાઊદી,દાઊદી
હડહડ,હડહડ
ભાળવણી,ભાળવ-ણી
વૈર,વૈર
અશ્વમેઘ,અશ્-વમે-ઘ
પાયાદાર,પાયા-દાર
કેળિયું,કે-ળિ-યું
કશ્યપસુત,કશ્-ય-પસુત
કંથારી,કં-થા-રી
આધિક્યચિહ્ન,આધિ-ક્યચિહ્ન
ગોપદ,ગોપદ
સંથો,સંથો
નિરુદ્યમ,નિરુદ્યમ
ઉથાપવું,ઉથા-પ-વું
કૃષિક,કૃષિક
ફેફર,ફેફર
અવનતાંગ,અવનતાંગ
જળવીજળી,જળ-વીજ-ળી
સમસમવું,સ-મસ-મ-વું
સાસુસસરો,સા-સુસસ-રો
પંચનામું,પંચ-ના-મું
નિશાતરો,નિ-શાત-રો
ટચોટચ,ટચોટચ
ટોચાવવું,ટો-ચાવ-વું
આશ્રમશાલા,આશ્રમ-શાલા
રોવડાવાવું,રોવ-ડાવા-વું
બેજુબાન,બેજુબાન
ગરાવું,ગ-રા-વું
મયૂરધ્વજ,મ-યૂ-રધ્વ-જ
વિનિમયપત્ર,વિ-નિમય-પત્-ર
વિમર્ષ,વિ-મર્ષ
સૂરતપરસ્તી,સૂ-રતપરસ્-તી
ગાયકવાડી,ગાયક-વા-ડી
ત્રેહેકત,ત્રે-હેક-ત
દ્વેષાગ્નિ,દ્વે-ષાગ્-નિ
સિદ્ધાંતવાદી,સિદ્ધાંત-વા-દી
કદમબોસ,કદમબોસ
કલમકસાઈ,કલમક-સાઈ
ગોઠમડું,ગો-ઠમ-ડું
કોયલો,કોયલો
તૂક,તૂક
વ્યવહારિકતા,વ્યવ-હા-રિક-તા
દ્દષ્ટિપથ,દ્-દ-ષ્-ટિ-પથ
ગ્રંથસ્થ,ગ્રંથ-સ્-થ
અવાજત,અ-વાજત
બદનસીબ,બદન-સીબ
નર્મગોષ્ઠી,નર્-મગોષ્ઠી
લગાડાવું,લ-ગાડા-વું
ઉમરદરાજ,ઉ-મર-દ-રાજ
ખડભડાટ,ખડ-ભ-ડાટ
છમછમિયાં,છમછમિયાં
ઠેલવાવું,ઠેલ-વા-વું
આશ્વાસક,આશ્-વાસક
અધેટી,અધેટી
સબડાવવું,સ-બ-ડાવ-વું
ચરકીડો,ચર-કી-ડો
ઉછાળાવું,ઉ-છાળા-વું
ચીનવું,ચીન-વું
પાટાંબર,પાટાંબર
તાવડી,તા-વ-ડી
કાર્બોનેટ,કાર્બોનેટ
ચાંદિયો,ચાંદિયો
આઠપત્રી,આઠપત્રી
ઍક્ઝિબિશન,ઍક્ઝિબિશન
તૃણ,તૃણ
લવિંગલતા,લ-વિંગલતા
ગૂંચળિયાળું,ગૂંચળિ-યા-ળું
અસત્પ્રતિગ્રહ,અ-સત્પ્ર-તિગ્રહ
ખગોળ,ખગોળ
ફિલ્મ,ફિલ્મ
અણિદાર,અ-ણિદાર
જનહિત,જન-હિત
રર્રો,રર્રો
તડાવું,ત-ડા-વું
ન્યોછાવર,ન્યોછાવર
ઝાલણ,ઝાલણ
અંગમેજયત્વ,અં-ગમે-જ-યત્-વ
ઠૂંગાર,ઠૂંગાર
કમઠાડું,કમ-ઠા-ડું
ભિષજ,ભિષજ
યદિ,યદિ
કડકડતું,કડકડ-તું
બહેનપણાં,બ-હેન-પ-ણાં
વિહ્વલતા,વિહ્વલતા
વ્યાપ્તિ,વ્યાપ્તિ
અધરપીયૂષ,અધર-પીયૂષ
ઉદ્યોગશાળા,ઉદ્યોગશાળા
સુપાર્શ્વનાથ,સુ-પાર્-શ્-વ-નાથ
ગોઠપણાં,ગો-ઠપણાં
બ્રાન્ડ,બ્રાન્ડ
ગરડગફ,ગરડગફ
બકાલું,બ-કાલું
લપ્પી,લપ્-પી
આમોટ,આમોટ
અંકુશનાબૂદી,અં-કુશનાબૂદી
ચોખ્ખુંચટ,ચોખ્-ખું-ચટ
સમોસરણ,સ-મો-સરણ
પટ્ટીશ,પટ્ટીશ
અઢારખાંડી,અ-ઢારખાંડી
અમલદોર,અ-મલ-દોર
થોભા,થોભા
મૅક્સિમમ,મૅક્સિમમ
ડોકાવું,ડો-કા-વું
પરિપૂર્ણતા,પ-રિ-પૂર્-ણતા
તતક્ષણ,તત-ક્-ષણ
ઉદુંબર,ઉદુંબર
છૂરાબાજી,છૂરા-બા-જી
અનાકૃષ્ટ,અ-નાકૃષ્-ટ
આકલનશકિત,આકલનશકિત
વાહિદ,વા-હિદ
વિઙજશાસ્ત્ર,વિઙ-જ-શાસ્-ત્-ર
રાજકવિ,રાજક-વિ
અબુદ્ધિ,અબુદ્ધિ
ઉદ્ગાર,ઉદ્ગાર
ઝલ્લાવવું,ઝલ્-લાવ-વું
ગળચકું,ગળચ-કું
ઘટસ્થાપન,ઘટસ્થા-પન
ઊંચકાવું,ઊં-ચ-કા-વું
ચોરગલી,ચોર-ગ-લી
દ્દષ્ટિવાદ,દ્-દ-ષ્-ટિ-વાદ
વિશૃંખળ,વિશૃંખળ
ખ્વાબી,ખ્-વા-બી
તૂમડી,તૂ-મ-ડી
જણું,જ-ણું
અધરાક્ષ,અધ-રાક્-ષ
નબંનાત,ન-બંના-ત
કઠવું,ક-ઠ-વું
નિર્વિત્ત,નિર્-વિત્-ત
સ્ક્રિપ્ટ,સ્ક્રિપ્ટ
કર્ષ,કર્ષ
ભૂમીદાહ,ભૂમીદાહ
આરાગ્રફલ,આ-રા-ગ્ર-ફ-લ
ધિરાવું,ધિ-રા-વું
આચાર્યકુલ,આ-ચા-ર્-ય-કુલ
અખબારી,અખ-બા-રી
ભંડારવું,ભં-ડાર-વું
ફાંગળું,ફાં-ગ-ળું
નિશ્,નિશ્
ધૂંસ,ધૂંસ
દ્દગંચલ,દ્-દગંચ-લ
અનિયંત્રિતતા,અ-નિયં-ત્રિતતા
વાડોલિયું,વા-ડોલિ-યું
તડપ,તડપ
મજૂરપક્ષ,મ-જૂર-પક્-ષ
ગરમાળો,ગર-મા-ળો
પાશા,પાશા
ઢોલ,ઢોલ
બાહિલક,બાહિલક
અનઘડ,અ-નઘડ
બાતમીખાતું,બા-તમીખા-તું
ખોભના,ખોભના
વિષ્ટિકાર,વિષ્-ટિ-કાર
ઠગાઈ,ઠ-ગાઈ
આયુષદોરી,આયુ-ષદો-રી
ઉદ્યુક્ત,ઉદ્યુક્ત
અનુનેય,અ-નુનેય
મહાપ્રયાણ,મ-હા-પ્ર-યાણ
કીનો,કીનો
જનેશ્વર,જ-ને-શ્-વર
અદીઠ,અદીઠ
અમેધ્યત્વ,અ-મેધ્-યત્-વ
ઘુમ્મો,ઘુમ્મો
અનુવક્રકૈંદ્રિક,અ-નુવક્રકૈંદ્રિક
બાણું,બાણું
સમર્પાવવું,સ-મર્-પાવ-વું
શિવ,શિવ
ટૉસ,ટૉસ
છેડ,છેડ
બિલિયાન,બિલિયાન
વિરોચન,વિ-રોચન
સિફત,સિફત
સુખદા,સુ-ખદા
બહુમૂલ્ય,બ-હુ-મૂલ્-ય
લૉગોપેથિયા,લૉગો-પેથિ-યા
અભિજ્ઞાત,અ-ભિજ્-ઞા-ત
સિંહણસુત,સિંહણસુત
હૉબી,હૉબી
રજનીનાથ,રજ-નીનાથ
આત્મસંગોપન,આત્-મ-સંગોપન
ભીછરું,ભીછરું
કળશિયો,કળશિયો
ગદ્યપદ્ય,ગદ્યપદ્ય
ટૈડકો,ટૈ-ડ-કો
કરચોરી,કર-ચો-રી
કાકનિદ્રા,કાકનિદ્રા
સંચલન,સં-ચ-લન
શૂરાપણ,શૂરાપણ
યાત્રિક,યાત્રિક
આનુષંગિક,આનુષંગિક
નૌકાસેના,નૌ-કાસે-ના
નબીજું,ન-બી-જું
ખિલ્લત,ખિ-લ્-લત
વીચી,વીચી
અયનમંડલ,અયનમંડલ
હિતસ્વી,હિતસ્વી
ઉચ્છૃંખળ,ઉચ્છૃંખળ
ઘૂલરું,ઘૂલરું
દુહો,દુહો
ચૉકલેટ,ચૉકલેટ
પ્રેમાળ,પ્રેમાળ
અંડમાર્ગ,અંડ-માર્-ગ
કોતર,કો-તર
ઊચળવું,ઊ-ચળ-વું
